Threshold,FAR%,FRR%,Precision%,Recall%
0.0,82.17559275812438,0.0,19.044776119402982,100.0
0.01,79.1303689114461,0.0,19.633789813817508,100.0
0.02,75.94879175820014,0.0,20.289394180314837,100.0
0.03,72.57783501249905,0.0,21.033544877606527,100.0
0.04,68.82811908188773,0.0,21.928166351606805,100.0
0.05,64.42693735323081,0.0,23.08040155557565,100.0
0.06,60.215135217029015,0.0,24.30244738596324,100.0
0.07,55.36701765017802,0.0,25.879728222289827,100.0
0.08,50.4885993485342,0.0,27.6879678854291,100.0
0.09,45.77683508825089,0.0,29.691681210005815,100.0
0.1,40.73176274524658,0.0,32.185647622651025,100.0
0.11,35.73214150443148,0.0,35.107992846333744,100.0
0.12,30.482539201575637,0.0,38.80778588807786,100.0
0.13,25.801075676085144,0.0,42.833165491775766,100.0
0.14,21.26354064086054,0.03918495297805642,47.61104889884285,99.96081504702194
0.15,17.27899401560488,0.03918495297805642,52.793874172185426,99.96081504702194
0.16,14.256495720021212,0.03918495297805642,57.54568012632528,99.96081504702194
0.17,11.415801833194456,0.03918495297805642,62.863479546574666,99.96081504702194
0.18,9.15839709112946,0.03918495297805642,67.84574468085106,99.96081504702194
0.19,7.423680024240588,0.03918495297805642,72.24582271311243,99.96081504702194
0.2,5.976819937883493,0.11755485893416928,76.36309167165967,99.88244514106583
0.21,4.764790546170745,0.3134796238244514,80.17648912700915,99.68652037617555
0.22,3.833042951291569,0.54858934169279,83.37713534822602,99.45141065830721
0.23,2.916445723808802,0.8228840125391849,86.79698216735254,99.17711598746082
0.24,2.310431027952428,1.09717868338558,89.21880523153057,98.90282131661442
0.25,1.8407696386637376,1.489028213166144,91.1860718171926,98.51097178683386
0.26,1.2726308612983865,1.763322884012539,93.7196261682243,98.23667711598746
0.27,0.901446860086357,2.0768025078369905,95.45454545454545,97.92319749216301
0.28,0.6363154306491933,2.586206896551724,96.73151750972762,97.41379310344827
0.29,0.4317854707976668,3.0172413793103448,97.74881516587678,96.98275862068965
0.3,0.21968032724793574,3.2915360501567394,98.83860632759311,96.70846394984326
0.31,0.12120293917127489,3.526645768025078,99.3543179983858,96.47335423197492
0.32,0.06817665328384213,3.800940438871473,99.63474025974025,96.19905956112854
0.33,0.022725551094614046,4.114420062695925,99.87755102040816,95.88557993730407
0.34,0.015150367396409362,4.349529780564263,99.91813344248874,95.65047021943573
0.35000000000000003,0.007575183698204681,4.506269592476489,99.95898277276456,95.49373040752351
0.36,0.0,4.623824451410658,100.0,95.37617554858933
0.37,0.0,4.8197492163009406,100.0,95.18025078369907
0.38,0.0,5.054858934169279,100.0,94.94514106583071
0.39,0.0,5.172413793103448,100.0,94.82758620689656
0.4,0.0,5.4858934169279,100.0,94.5141065830721
0.41000000000000003,0.0,5.760188087774295,100.0,94.2398119122257
0.42,0.0,6.112852664576803,100.0,93.8871473354232
0.43,0.0,6.387147335423197,100.0,93.6128526645768
0.44,0.0,7.131661442006269,100.0,92.86833855799374
0.45,0.0,7.641065830721002,100.0,92.358934169279
0.46,0.0,8.307210031347962,100.0,91.69278996865204
0.47000000000000003,0.0,8.699059561128527,100.0,91.30094043887146
0.48,0.0,9.286833855799372,100.0,90.71316614420063
0.49,0.0,9.87460815047022,100.0,90.12539184952978
0.5,0.0,10.344827586206897,100.0,89.65517241379311
0.51,0.0,10.658307210031348,100.0,89.34169278996865
0.52,0.0,11.559561128526646,100.0,88.44043887147336
0.53,0.0,12.343260188087775,100.0,87.65673981191222
0.54,0.0,13.636363636363635,100.0,86.36363636363636
0.55,0.0,14.772727272727273,100.0,85.22727272727273
0.56,0.0,15.634796238244514,100.0,84.36520376175548
0.5700000000000001,0.0,16.731974921630094,100.0,83.2680250783699
0.58,0.0,17.86833855799373,100.0,82.13166144200626
0.59,0.0,19.82758620689655,100.0,80.17241379310344
0.6,0.0,21.59090909090909,100.0,78.4090909090909
0.61,0.0,23.04075235109718,100.0,76.95924764890282
0.62,0.0,25.27429467084639,100.0,74.7257053291536
0.63,0.0,27.978056426332287,100.0,72.02194357366771
0.64,0.0,30.681818181818183,100.0,69.31818181818183
0.65,0.0,34.01253918495298,100.0,65.98746081504702
0.66,0.0,37.26489028213166,100.0,62.73510971786834
0.67,0.0,40.86990595611285,100.0,59.13009404388715
0.68,0.0,43.76959247648903,100.0,56.23040752351097
0.6900000000000001,0.0,47.25705329153605,100.0,52.74294670846395
0.7000000000000001,0.0,50.274294670846395,100.0,49.725705329153605
0.71,0.0,54.46708463949843,100.0,45.53291536050157
0.72,0.0,58.2680250783699,100.0,41.73197492163009
0.73,0.0,61.63793103448276,100.0,38.362068965517246
0.74,0.0,64.81191222570533,100.0,35.188087774294665
0.75,0.0,68.49529780564264,100.0,31.504702194357364
0.76,0.0,71.98275862068965,100.0,28.01724137931034
0.77,0.0,74.92163009404389,100.0,25.07836990595611
0.78,0.0,78.36990595611285,100.0,21.630094043887148
0.79,0.0,81.30877742946709,100.0,18.691222570532915
0.8,0.0,84.05172413793103,100.0,15.948275862068966
0.81,0.0,86.95141065830721,100.0,13.04858934169279
0.8200000000000001,0.0,88.59717868338558,100.0,11.40282131661442
0.8300000000000001,0.0,90.51724137931035,100.0,9.482758620689655
0.84,0.0,91.84952978056427,100.0,8.150470219435736
0.85,0.0,93.37774294670847,100.0,6.622257053291536
0.86,0.0,94.55329153605015,100.0,5.446708463949843
0.87,0.0,95.6896551724138,100.0,4.310344827586207
0.88,0.0,96.78683385579937,100.0,3.213166144200627
0.89,0.0,97.53134796238244,100.0,2.468652037617555
0.9,0.0,98.11912225705329,100.0,1.8808777429467085
0.91,0.0,98.3934169278997,100.0,1.6065830721003136
0.92,0.0,99.02037617554859,100.0,0.9796238244514107
0.93,0.0,99.17711598746082,100.0,0.8228840125391849
0.9400000000000001,0.0,99.45141065830721,100.0,0.54858934169279
0.9500000000000001,0.0,99.7257053291536,100.0,0.274294670846395
0.96,0.0,99.92163009404389,100.0,0.07836990595611285
0.97,0.0,99.96081504702194,100.0,0.03918495297805642
0.98,0.0,100.0,0,0.0
0.99,0.0,100.0,0,0.0
1.0,0.0,100.0,0,0.0
